station,latitude,longitude
Bukowa,53.4312097,14.4860524
Ludynia,50.8518711,20.1626707
Ludynia Dwór,50.8474138,20.1138049
Włoszczowa,50.8377209,20.0149933
Czarnca,50.8237477,19.940274
Żelisławice,50.8038128,19.858556
Koniecpol,50.776388,19.700042
Koniecpol Magdasz,50.7725074,19.6533608
Podlesie,50.6595398,20.7750818
Staropole Częstochowskie,50.7646881,19.5292075
Julianka,50.7646424,19.473262
Lusławice,50.7609112,19.3873195
Turów,50.9947688,17.0675431
Kusięta Nowe,50.7778659,19.261526
Częstochowa Raków,50.7875083,19.1558771
Częstochowa,50.8084337,19.1208041
Żywiec,49.6791207,19.1856696
Pietrzykowice Żywieckie,49.7099014,19.1720786
Łodygowice,49.7251478,19.1413337
Łodygowice Górne,49.7357312,19.1236922
Wilkowice Bystra,49.7600222,19.0882156
Bielsko-Biała Mikuszowice,49.7824241,19.0746034
Bielsko-Biała Leszczyny,49.7970632,19.060798
Bielsko-Biała Lipnik,49.8140102,19.04964
Bielsko-Biała Główna,49.8298605,19.0453155
Bielsko-Biała Północ,49.8415432,19.0415175
Czechowice-Dziedzice Połudn.,inf,inf
Czechowice-Dziedzice Przyst.,inf,inf
Czechowice-Dziedzice,49.9153604,19.0066519
Goczałkowice-Zdrój,49.9357557,18.9766208
Goczałkowice,49.9444165,18.9666496
Piasek,51.1983333,17.3786111
Tychy Żwaków,50.1090002,18.9524797
Katowice Podlesie,50.1829282,18.9603594
Katowice Piotrowice,50.2132506,18.9703037
Katowice Ligota,50.2260023,18.9778134
Katowice Brynów,50.2442199,18.9833941
Opole Główne,50.6616475,17.9272072
Opole Zachodnie,50.6608418,17.8984397
Chróścina Opolska,50.6698523,17.8180588
Dąbrowa Niemodlińska,50.6915682,17.7538812
Przecza,50.7329088,17.6679145
Lewin Brzeski,50.7581502,17.6153236
Łosiów,50.7885326,17.5518411
Brzeg,50.8614882,17.470497
Lipki,53.8254276,18.0886565
Oława,50.9428209,17.295528
Lizawice,50.9722364,17.214442
Zębice Wrocławskie,51.0066077,17.1621466
Święta Katarzyna,51.0295677,17.1231625
Wrocław Brochów,51.0642365,17.0846427
Wrocław Główny,51.0979682,17.0375301
Gdańsk Orunia,54.3243738,18.6346092
Pruszcz Gdański,54.2572262,18.6469773
Pszczółki,54.1745808,18.7016997
Szymankowo,54.0729169,18.926568
Malbork,54.0359714,19.0431501
Mikołajki Pomorskie,53.8508806,19.155868
Prabuty,53.7585393,19.2099719
Susz,53.7110473,19.3298315
Redaki,53.6705312,19.4094223
Ząbrowo,53.6372496,19.4608673867161
Iława Miasto,53.5957407,19.5484913
Trzebnica,51.30413745,17.0634929139515
Brochocin Trzebnicki,51.2761437,17.0941475
Pierwoszów Miłocin,51.2549608,17.0992555
Siedlec Trzebnicki,51.2333452,17.1190136
Pasikurowice,51.2086236,17.1093722
Ramiszów,51.1932039,17.0982931
Wrocław Pawłowice,51.1685976,17.1086569
Wrocław Zakrzów,51.1587445,17.1221927
Wrocław Psie Pole,51.150452,17.1185445
Wrocław Sołtysowice,51.1425214,17.0837168
Wrocław Nadodrze,51.1256579,17.0329905
Wrocław Mikołajów,51.1162965,16.998395
Żyrardów,52.0524718,20.4489753
Wrocław Muchobór,51.1110689,16.9748716
Wrocław Kuźniki,51.1280409,16.9522088
Wrocław Stadion,51.1370304,16.9406255
Wrocław Pracze,51.1696835,16.9035099
Brzezinka Średzka,51.2197167,16.8368026
Czerna Mała,51.2299733,16.8035361
Księginice,51.2422343,16.76381
